127.0.0.1 - - [29/Aug/2026:14:46:05 -0500] "GET / HTTP/1.1" 200 11435
0:0:0:0:0:0:0:1 - - [29/Aug/2026:14:46:22 -0500] "GET / HTTP/1.1" 200 11435
0:0:0:0:0:0:0:1 - - [29/Aug/2026:14:46:22 -0500] "GET /tomcat.css HTTP/1.1" 200 5981
0:0:0:0:0:0:0:1 - - [29/Aug/2026:14:46:22 -0500] "GET /tomcat.svg HTTP/1.1" 200 68761
0:0:0:0:0:0:0:1 - - [29/Aug/2026:14:46:23 -0500] "GET /asf-logo-wide.svg HTTP/1.1" 200 7147
0:0:0:0:0:0:0:1 - - [29/Aug/2026:14:46:23 -0500] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [29/Aug/2026:14:46:23 -0500] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [29/Aug/2026:14:46:23 -0500] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [29/Aug/2026:14:46:23 -0500] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [29/Aug/2026:14:46:26 -0500] "GET /demo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Aug/2026:14:46:27 -0500] "GET /demo/ HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [29/Aug/2026:14:46:29 -0500] "GET /demo/home HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [29/Aug/2026:15:57:43 -0500] "GET /demo/home HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [29/Aug/2026:15:57:43 -0500] "GET /favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2026:15:57:45 -0500] "GET /demo/home HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [29/Aug/2026:15:57:45 -0500] "GET /demo/home HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [29/Aug/2026:15:57:45 -0500] "GET /demo/home HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [29/Aug/2026:15:57:46 -0500] "GET /demo/home HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [29/Aug/2026:15:57:46 -0500] "GET /demo/home HTTP/1.1" 404 701
